objectid,filename,title,creator,editor,publisher,date,subject,description,source,identifier,format,language,rights,rightsstatement
W.2005.1.398,https://weltylab.org/collection/W2005_1_398.jpg,Good Behavior,Molly Keane, ,,1981,Fiction,"Inscription on inside free front end paper: Eudora Welty 1981
Inscription on back fly page: 48,49,71 Note: ",Mississippi Department of Archives and History,W2005.1.400,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.399,https://weltylab.org/collection/W2005_1_399.jpg,The Walker and Other Stories,Patrick O'Brian, ,,1955,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.401,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.400,https://weltylab.org/collection/W2005_1_400.jpg,Mitsou or How Girls Grow Wise, Colette,Jane Terry (translator) Terry,,1930,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.402,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.401,https://weltylab.org/collection/W2005_1_401.jpg,Duo and Le Foutounier, Colette, ,,1974,Fiction," Note: ""Jackson Metropolitan Library"" stamped on title page; someone's initials written on title page",Mississippi Department of Archives and History,W2005.1.403,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.402,https://weltylab.org/collection/W2005_1_402.jpg,The Letters of F. Scott Fitzgerald,F. Scott Fitzgerald,Andrew Turnbull,,1964,Non-fiction,"Book is inscribed in black ink on front free end paper: ""For Eudora/ with love from/ Frank/ Christmas 1964 -"" Note:  Two pieces of paper found inserted at contents page with inscription: ""Fitzgerald + Hemingway...pg 298 + 299 '(checkmark)' Both letters; pg 300 '(checkmark)' Both letters; pg 311 '(checkmark)' Both letters also ('also' underlined) pg 312; dot ('dot' is underlined) on pg 489 'about Tuesday...' dot ('dot' is underlined) on pg 490 'The Bow Boy...'""   ",Mississippi Department of Archives and History,W2005.1.404,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.403,https://weltylab.org/collection/W2005_1_403.jpg,Turgenev Letters,Ivan Turgenev,David Lowe,,"1987, c1985.",Non-fiction, Note: ,Mississippi Department of Archives and History,W2005.1.405,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.404,https://weltylab.org/collection/W2005_1_404.jpg,The Collected Stories of Sean O'Faolain,Sean O'Faolain, ,,1983,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.406,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.405,https://weltylab.org/collection/W2005_1_405.jpg,Winter's Tales,Isak Dinessen, ,,1942,Fiction, Note: Pages 303-304 are folded/creased.,Mississippi Department of Archives and History,W2005.1.407,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.406,https://weltylab.org/collection/W2005_1_406.jpg,Ripening Seed, Colette,Robert Senhouse (translator) Senhouse,,1956,Fiction, Note: Sticker with address for the Holliday Bookshop is on back.,Mississippi Department of Archives and History,W2005.1.408,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.407,https://weltylab.org/collection/W2005_1_407.jpg,The Vagabond, Colette,James McLeod (translator) McLeod,,1955,Fiction, Note: ,Mississippi Department of Archives and History,W2005.1.409,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
